course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,Month-Year,price_log,price_sqrt,price_adjusted,price_boxcox
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,True,75,2792,923,274,All Levels,39.0,2017-03-09 16:34:20+00:00,Business Finance,Mar-2017,4.31748811353631,8.660254037844387,75.0,10.946132458436795
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,True,200,20195,1113,227,All Levels,16.0,2014-10-27 22:01:36+00:00,Business Finance,Oct-2014,5.298317366548036,14.142135623730951,200.0,17.080263507713216
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,https://www.udemy.com/branch-accounts-a-complete-analysis/,True,150,1535,16,462,All Levels,62.0,2016-06-03 17:42:27+00:00,Business Finance,Jun-2016,5.0106352940962555,12.24744871391589,150.0,15.038590868072822
840300,B Com Accountancy I (Paper ECO 02 IGNOU),https://www.udemy.com/accounts-from-incomplete-records/,True,50,2946,6,284,All Levels,31.5,2016-05-05 23:07:43+00:00,Business Finance,May-2016,3.912023005428146,7.0710678118654755,50.0,9.006980107920954
543242,Learn to Trade The News,https://www.udemy.com/learn-to-trade-the-news/,True,200,1924,351,544,All Levels,46.5,2015-07-16 22:03:29+00:00,Business Finance,Jul-2015,5.298317366548036,14.142135623730951,200.0,17.080263507713216
907716,International Tax  - Tax Beyond boundaries,https://www.udemy.com/international-tax-course-intermediate-level/,True,100,27,6,235,All Levels,19.5,2016-09-06 15:03:27+00:00,Business Finance,Sep-2016,4.605170185988092,10.0,100.0,12.514931395563709
822514,CAIIB Advanced Bank Management (Part I),https://www.udemy.com/statistics-regression-analysis/,True,25,2953,20,211,All Levels,20.5,2016-04-15 18:43:40+00:00,Business Finance,Apr-2016,3.2188758248682006,5.0,25.0,6.311508686745315
494800,Accounting Basics - A Complete Study,https://www.udemy.com/fundamentals-of-accounting-a-complete-study/,True,180,1132,70,332,All Levels,29.0,2015-05-06 23:27:45+00:00,Business Finance,May-2015,5.19295685089021,13.416407864998739,180.0,16.306493442479088
484132,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),https://www.udemy.com/dividend-decision-a-comprehensive-study/,True,150,1340,4,272,All Levels,26.0,2015-07-19 19:43:52+00:00,Business Finance,Jul-2015,5.0106352940962555,12.24744871391589,150.0,15.038590868072822
471440,Accounting and Finance for Bankers - A Comprehensive Study,https://www.udemy.com/crash-course-on-financial-management/,True,180,3056,9,316,All Levels,24.5,2015-04-10 19:24:28+00:00,Business Finance,Apr-2015,5.19295685089021,13.416407864998739,180.0,16.306493442479088
